			1, ˉ	2, ˊ	3, ˇ	4, ˋ	5, .
а	a		ā 阿,啊,呵,锕,吖	á 啊,嗄	ǎ 啊	à 啊	a 啊
ай	ai		āi 埃,哀,挨,唉,哎,锿	ái 癌,挨,皑,捱,騃,硙	ǎi 矮,蔼,嗳,霭,靄,藹	ài 爱,艾,碍,唉,隘,暧,嗳,嗌,砹,嫒,瑷,礙,鴱,靉,賹,鑀,薆,愛,曖,㝵	
ань	an		ān 安,庵,氨,鞍,谙,鹌,桉,鮟,鶕,菴,盦,盫,韽,裺,鵪		ǎn 俺,铵,埯,揞,罯	àn 案,按,暗,岸,黯,胺,犴,闇,貋	
ан	ang		āng 肮,骯	áng 昂,卬		àng 盎	
ао	ao		āo 熬,凹	áo 熬,鳌,敖,嗷,翱,鏖,遨,螯,獒,聱,鰲,廒,鏕,謸	ǎo 袄,媪,襖	ào 奥,澳,傲,懊,拗,坳,鏊,骜,岙,驁,奧	
ба	ba		bā 八,吧,巴,叭,疤,扒,芭,笆,粑,捌,鲃,岜,釟,丷	bá 拔,跋,魃,菝,茇,軷,鼥,抜	bǎ 把,靶,钯	bà 把,伯,爸,罢,霸,坝,耙,杷,鲅,灞,鲌,鮊,罷,鮁,覇,壩	ba 吧,罢,罷
бай	bai		bāi 掰	bái 白	bǎi 百,伯,摆,柏,佰,捭,襬,擺	bài 败,拜,呗,稗,粺,贁,薭,敗,拝,唄	
бань	ban		bān 般,班,搬,斑,颁,扳,瘢,癍,頒		bǎn 版,板,阪,坂,舨,钣,闆	bàn 办,半,伴,扮,瓣,绊,拌,辦,跘,絆	
бан	bang		bāng 帮,邦,梆,浜,邫,幫		bǎng 膀,绑,榜,綁	bàng 膀,棒,镑,傍,磅,谤,蚌,蒡,稖,艕,蛖,謗	
бао	bao		bāo 包,炮,胞,剥,褒,苞,孢,龅,煲,笣,剝,勹	báo 薄,雹,窇	bǎo 保,宝,堡,饱,葆,褓,鸨,飽,賲,藵,寶	bào 报,暴,抱,爆,鲍,豹,瀑,刨,趵,菢,袌,報	
бэй	bei		bēi 背,悲,杯,卑,碑,陂,鹎,藣,盃,揹		běi 北	bèi 被,备,背,贝,倍,辈,惫,狈,悖,钡,蓓,焙,孛,碚,鞴,鐾,褙,貝,誖,邶,骳,輩,鋇,備,狽,憊	bei 呗,唄
бэнь	ben		bēn 奔,贲,锛,賁		běn 本,苯,畚,翉	bèn 奔,笨,夯,坌	
бэн	beng		bēng 崩,绷,嘣,繃	béng 甭	běng 绷,繃,鞛	bèng 蹦,迸,泵,蚌,甏,鏰,镚,跰	
би	bi		bī 逼,螕,鲾	bí 鼻,荸	bǐ 比,笔,彼,鄙,匕,俾,吡,妣,筆,秕,舭,聛,貏,粃	bì 必,秘,避,毕,币,闭,壁,臂,蔽,辟,碧,弊,毙,拂,陛,庇,婢,敝,痹,璧,弼,裨,愎,贲,蓖,跸,毖,哔,薜,嬖,畀,铋,篦,睥,髀,濞,閉,萆,襞,荜,筚,狴,禆,邲,閟,躄,滗,苾,庳,觱,诐,箅,粊,鶝,綼,袐,蜌,鼊,鐴,詖,篳,罼,繴,赑,饆,鉍,駜,鷩,縪,賁,驆,鮅,幣,痺,斃,畢,畐	
бянь	bian		biān 边,编,鞭,蝙,砭,笾,鳊,煸,邊,編,邉,箯,辺		biǎn 扁,贬,匾,褊,窆,碥,覵,貶	biàn 变,便,遍,辩,辨,辫,汴,卞,弁,變,苄,缏,辯,釆,忭,覍,緶,艑,変,辮	bian 边,邊
бяо	biao		biāo 标,彪,镖,飙,镳,膘,飚,杓,髟,贆,飑,麃,飆,磦,鑣,鏢,臕,颩,脿,藨,標,灬		biǎo 表,婊,裱,諘,俵,錶	biào 鳔	
бе	bie		biē 憋,鳖,鼈,鱉	bié 别,蹩,莂,別	biě 瘪	biè 别,彆	
бинь	bin		bīn 宾,斌,滨,彬,濒,缤,浜,傧,豳,镔,邠,蠙,賓,砏,濱,瀕			bìn 鬓,殡,摈,膑,髌,鬂,臏,髕,鬢	
бин	bing		bīng 兵,冰,屏,槟,氷,冫		bǐng 屏,柄,饼,丙,秉,禀,炳,邴,稟,餅,鈵,鉼,絣	bìng 并,病,摒,竝,併,並	
бо	bo		bō 波,播,玻,拨,剥,钵,蕃,啵,饽,菠,缽,礡,蹳,鉢,剝,撥	bó 伯,博,薄,勃,柏,驳,泊,脖,舶,搏,膊,帛,渤,箔,铂,礴,钹,鹁,亳,鲌,鮊,髆,駮,踣,誖,镈,艊,鑮,鈸,穛,髉,駁	bǒ 簸,跛,蚾	bò 薄,柏,簸,擘,捭,檗	bo 卜,啵,蔔
бу	bu		bū 哺,逋,晡,钸,餔,鵏,鈽	bú 醭,鳪	bǔ 补,捕,卜,哺,補,卟	bù 不,部,步,布,怖,哺,簿,埔,埠,钚,瓿,钸,蔀,篰,鈽,踄,歩,捗,佈	
ца	ca		cā 擦,嚓		cǎ 礤		
цай	cai		cāi 猜	cái 才,财,材,裁,纔,財	cǎi 采,彩,踩,睬,綵,採	cài 采,菜,蔡,縩	
