(Cdad. Mtar.),(CAD. MTAR.)
(F),(Е)
(H),(ЧАС)
(R),(Р)
(SS),(H.h)
(TE),(ЧАЙ)
(Zj.),(ZJ.)
(c),(в)
(p),(П)
A,А
A y A,А и А.
A. N.,А. Н.
A/S,ТУЗ
AA,АА.
AAA,ААА.
AACS,AACS.
AC,Ac.
ACAN,Банка.
ACC,Сочность
ACM,Акция
ACNU,Невысокий
ACNUR,УВКБ ООН
AD,Объявление.
ADELA,Адель.
ADMON.,Adom.
ADMOR.,Подставной
AELC,AELC.
AEM,Эм
AF,Аф.
AG,AG.
AGAAC,Агаак.
AHG,Ахг
AHL,АХЛ.
AID,Помогать.
AIEA,МАГАТЭ.
AIEN,Aien.
AIN,Айн
AL,К тому
ALACEI,Alaceli.
ALALC,Alalc.
ALAMAR,Аламар.
ALPRO,Alpro.
AMEX,Amex.
AMP,Ампер
ANAP,Короткий сон.
ANAPO,Анапо.
ANIR,Анир
AP,Ап
APG,Apg.
APRA,Апре.
ARPEL,Arpel.
ASEAN,АСЕАН.
ASIN,КАК В.
AUN,ВСЕ ЖЕ
AVURNAVE,Австралиец
Abasia,Apsia.
Abel,Авель
Abelardo,Абелардо.
Abjasia,Абхазия.
Abu-Dabi,Абу Даби
Abundancio,Избыток
Abundio,Abundio.
Acacia,Акация
Acacio,Воплотно
Accra,Аккре.
Acisclo,Acisclo
Aconcagua,Aconcagua.
Acra,Акра
Acuario,Аквариум
Ada,Ада
Adalberto,Адальберто.
Addis-Abeba,Аддис-Абба
Adela,Адель.
Adelaida,Adelaidea.
Adelina,Адельна.
Aden,Аден.
Admor.,Подставной
Admón.,Восхищаться
Adolfo,Адольфо.
Adriana,Адриана
Adriano,Адриано.
Adrián,Адриан.
Adriático,Адриатики
Adulfo,Адульфа
Adzharia,Аджария.
Adán,Адам
Afganistán,Афганистан
Aglaia,Аглая.
Aglaya,Аглая.
Agramante,Агромамент.
Agustina,Агустина
Agustín,Агустин
Aires,Айрес.
Al Koweit,Коваит.
Alaska,Аляска
Albacete,Альбасете
Albania,Албания
Albertina,Альбертина
Alberto,Альберто.
Alcorán,Коран
Alda,Алда.
Aldo,Aldo.
Alejandra,Александра
Alejandro,Александр
Alejandría,Александрия
Alejo,Алехо.
Alemana,Немецкий
Alemania,Германия
Aleutas,Алеатс.
Aleutianas,Алеутит
Aleutinas,Алеутинос
Alexis,Алексис.
Alfonsina,Альфонсна.
Alfonso,Альфонсо.
Alfreda,Альфреда.
Alfredo,Альфред
Alicante,Аликанте.
Alicia,Алисия
Alina,Алина.
Alma-Ata,Алма-Ата.
Almería,Альмерия
Almirantes,Адмиралы
Almá-Atá,Almá-atá.
Alonso,Алонсо
Alpes,Альпы
Alsacia,Эльзас.
Alt.,Alt.
Altai,Алтай.
Alvar,Алвар
Alvaro,Альваро
Alá,К тому
Amadeo,Амадео.
Amalia,Амалия.
Amanda,Аманда.
Amando,Люблю
Amapola,Мак
Amarillo,Желтый
Amazonas,Амазонка
Amberes,Antwerp.
Ambrosio,Амбросио
Amelia,Амелия.
Amelio,Амелио.
Ammán,Амман
Amparo,Защита
Amsterdam,Амстердам
Amu-Daria,AMU-DARIA.
Amu-Dariá,AMU-DARIA.
Amur,Амур
América,Америка
América Central,Центральная Америка
América Latina,Латинская Америка
América Meridional,Южная Америка
América del Norte,Северная Америка
América del Sur,Южная Америка
Ana,Ана
Ana María,Ана Мария
Anacaona,Анакана.
Anastasia,Анастасия
Anastasio,Анастасио
Andalucía,Андалусия
Andes,Andes
Andorra,Андорра.
Andrea,Андреа
Andrés,Андрей
Angara,Ангара
Angelina,Анджелина
Angelines,Ангельэйнс
Angola,Ангола
Angora,Ангора
Angustias,Angustias.
Angélica,Анжелика
Aniceto,Анисето
Ankara,Анкара.
Anselma,Ансельма.
Anselmo,Ансельмо.
Antananarivo,Антананариву.
Anterior,Предыдущий
Antillas,Антиллы
Antonia,Антония.
Antonio,Антонио
Antárticas,Антарктика
Antártida,Антарктида
Antón,Антон.
Anuncia,Объявлять
Anunciación,Благовещение
Aníbal,Ганнибал
Apalaches,Аппалачи
Aparicio,Афарио
Aparición,Появление
Apeninos,Апеннины
Apto.,Подходящий.
Arabia,Аравия.
Arabia Saudita,Саудовская Аравия
Aragón,Арагон
Aral,Арал
