зонтик," ЗОНТИК Слово «зонтик» составлено из «пара», а также «агуас». Это сопоставленное слово, которое относится к посуде, используемой для защиты от дождя. См.: для а также воды. Внимание: это минимальный вход. У нас даже нет его в алфавитном указателе ниже, и мы не включаем его в общее количество слов в этом словаре. Для получения дополнительной информации рекомендуется перейти по ссылкам, указанным выше синими буквами."
" существенный"," СУЩЕСТВЕННОЕ Слово существенное имеет значение «относящийся к бытию, к природе» и происходит от латинского essentialis = «относящийся к сущности». См.: сущность, а также сущность. Внимание: это минимальный вход. У нас даже нет его в алфавитном указателе ниже, и мы не включаем его в общее количество слов в этом словаре. Для получения дополнительной информации рекомендуется перейти по ссылкам, указанным выше синими буквами."
красный,"КРАСНЫЙ Прилагательное красный происходит от латинского russus (высокий красный). Отсюда также каталонский roig, французский rouge и итальянский rosso. Форма russus — это лишь один из многих вариантов прилагательных, которые латынь связала с идеей красного, и все они имеют один и тот же первоначальный корень, а также: Прилагательное ruber (красный), откуда рубрика, начальная и румяная. Прилагательное rubĕus (красный, красноватый, ярко окрашенный), полученное с суффиксом отношения -eus, отсюда royo, румяный, rubéola, rubí, arrebol и т. д. Прилагательное rubidus (красно-коричневый), откуда рубидий. Прилагательное rutilus (ярко-красноватый), от которого происходит глагол rutilare (сиять красноватым или желто-оранжевым свечением), чье причастие настоящего времени мы сохраняем как блестящий. Прилагательное rubus (красный), откуда малиновка (ржавчина, красноватая окись). Прилагательное rufus (рыжий, рыжеволосый), италийская диалектная форма, введенная в латынь, откуда произошли имена Руфо и Руфино. Существительное robur, roboris (красный дуб или дуб, названный по цвету его осенних листьев), откуда дуб. Это слово из-за того, что его древесина самая твердая, оказалось в латыни также означающим силу, отсюда и его производные «робастный» и «подкрепляющий» (придавать силу чему-либо). Все эти слова соотносятся индоевропейцами с индоевропейским корнем *reudh- (красноватый, румяный). Спектр естественных цветов не совпадает с цветами языка. В антропологии изучение того, как разные культуры называли цвета на своих языках, является классикой. Есть культуры, которые различают только два или три, а другие имеют больший диапазон. Это не значит, что люди не умеют различать их, но дать каждому из них конкретное имя. Цвета культурны. От латинского rŭsseum (темно-красный), прошедшего через старое «roxo» (красноватый), происходит нынешнее «красный». Этот этимон дал по-итальянски «rosso» (красный), по-каталонски «ros» (светлый), по-румынски «roşu» (красный), по-французски «roux» (красный или красноватый) и по-португальски «roxo» (винный или пурпурный). ).). Роза может быть красной, белой, желтой… или даже розовой, но она происходит от латинского rŏsa, которое сохранилось как есть, так как оно давало бы что-то вроде «*ruesa?» если бы сам престиж этого языка не помешал этому. Как красный цвет и розы могут иметь общее происхождение, даже с колесами, навесами, ройо, валками или ручьями? Индоевропейский корень *reudh- также дал греческое слово erythrós (ἐρυθρός), например, эритроцит. То есть такие слова, как красноватый или белокурый, происходят непосредственно от латинской ветви russus, тогда как эритроцит (красные кровяные тельца) и Эритрея (африканская страна, граничащая с Красным морем) происходят от греческой ветви erit и erythro. Альтернативная этимология - Изобретение. Слово «красный» и «розовый» происходит от латинского «russus», что означает «красный». Russus мог быть связан с корнем, присутствующим в целом семействе слов: «завиток», «катить», «развивать», «катить», «бросать» и даже «течь», хотя признанный этимум — вульгарная латынь» морщинка». На самом деле все эти слова происходят непосредственно от долатинского и, вероятно, доиндоевропейского корня «рол/рул». Некоторые авторы считают, что корень «rol/rul» происходит от сокращения латинского слова «rotulus», «роллер», уменьшительного от «rota», с потерей «t», и что он произошел от «rulus». . Фонетически очень трудно понять, почему «rotulus» потерял интервокальное «t» для обозначения целого ряда уже упомянутых слов. Мое предложение состоит в том, что это прямо противоположное: «колесо», если оно происходит от «рул» путем палатализации «л» в «лл», которое затем должно было стать «рутлл» и «рути», что дало слово ""рота"", колесо, путем эволюции через ""рутя"". На самом деле концептуально акт метания и катания, то есть толкания чего-либо на поверхность, на землю, предшествует самому «колесу», и благодаря этой идее было дано имя всему, что находится вокруг него. может лучше скользить по земле. От «рутг» (дерзость), еще одного варианта «рулл», как способ дать название способу прорастания крови, который выбрасывается из тела, это понятие должно было быть перенесено на цвет крови, а не длиннее своего пути прорастания (осыпания). Поэтому от «рул» происходят не только такие слова, как ролик, катушка, рулон и т. п., но и колесо, красный и розовый, поскольку все они являются фонетическими вариантами палатализованного «л» на «лл» с их очень разными произношения, как мы все еще можем видеть сегодня. Даже французы и португальцы, которые преобразовали «l» в «u», дают нам объяснение «rubeus», поскольку корень «rul» также стал «ruu» и «rub», давая другое слово для красного. другие похожие в зависимости от разных языков, которые имеют этот цвет: ройо, рой, роиг, руг, красный и т. д. Удобно помнить корень протоиндоевропейского (PIE) Reudh] Предыдущий термин претерпел фонетическое развитие, когда написание «re», обозначающее [ɹ], при адаптации к латыни стало [R] и только «r "", и конечная фонема [θ] превратилась в долгую s [s:]. Оставшийся [u] в латинской грамматике заменяется словами мужского рода, поэтому, когда он был адаптирован, он стал [o], добавив суффикс именительного падежа рода, который был вторым «o», таким образом: Реуд прошел Росс и, наконец, Россо. С этого момента и до испанского долгое s [s:] постулируется следующим образом: из-за влияния других языков, потому что он принадлежит к семейству сатемов, или является наиболее распространенным, из-за вариантной артикуляции [:so]: [: s'o] или [kʰso), стали произносить как постальвеолярный ""sh"" [ʃ] (поскольку в древнем или архаичном испанском фонема [ʃ] была принята для двойного s ""ss"", как и в других иберо-романских языках). языков), или ну, с паузой, которая заканчивалась произношением, похожим на x [ɣs]. В обоих случаях эти фонемы были потеряны для «j» jota [x, h] на ранних стадиях испанского языка, так что rosso в конце концов оказался в Rojo."
привет,"HELLO Согласно DRAE, слово hello происходит от выразительного залога, похожего на английский hello или hello. На мой взгляд, слово «здравствуйте» происходит от греческого οὖλε (úle), град, императивного типа глагола οὒλω (úlo), я здоров, который Гомер использует в своей «Одиссее» (песнь 24, стих 403) для приветствия. ´´...οὖλέ τε καί μέγα χαῖρε, θεοί δέ τοι ὂλβια δοῖεν´´. «... радуйся! Добро пожаловать, и да даруют тебе боги счастья». Греческий термин οὖλε, по-видимому, имеет отношение к граду, но не к приветствию. Согласно Покорному1, оба слова имеют общий индоевропейский корень *соло- (целый), присутствующий также в словах католический и приветственный. Начальная буква s в индоевропейских корнях (* соло-) остается в латинском языке (мазь), но в греческом οὖλε (хоуле) добавляется с придыханием. Другой пример, * sā́u̯el- становится ήλιος (helios), в то время как латинский сохраняет s в sol. Как объясняет Пагот, Королевская испанская академия соотносит приветствие с английским приветствием. Все английские словари, к которым обращались, объясняют, что hello происходит от варианта hello, существующего с середины 16 века. Вариант халло дал нам выражение хала. Согласно CORDE, слово «привет» впервые появляется на испанском языке в 1535 году. 2 Согласно Молинеру 3 и Короминасу 4, слово «привет» — это выразительный голос творения с аналогичными вариантами в разных языках. Источники: Indogermanisches Etymologisches Woerterbuch Юлиуса Покорного. Комедия Видриана - Хамиме де Уэте - 1535. Словарь Марии Молинер Краткий этимологический словарь кастильского языка - Джоан Короминас. Третье издание, 1973 г. Термины, похожие на «привет», - это галлицизм «alló» или немецкое «привет», которые произносятся наоборот, чем в испанском языке. Или гавайское «алоха». Не кажется, что наше приветствие должно иметь надуманное другими происхождение от греческого οὖλε. Это также, как и латинское salve, которое обычно переводится как «привет», однако является обычным приветствием, желающим здоровья, и в основном более формальным, чем наше «привет» изначально и все существующие варианты на разных языках. не похоже на приветствие. Тема очень сложная, но если мы посмотрим на панораму, то увидим две вещи: 1) Помимо испанского и каталонского hello, португальского olá, французского hélas, румынского alo, возможных древнеитальянских форм, которые появились совсем недавно. заменено на ciao, у нас есть английское приветствие и немецкое приветствие. Первое впечатление, обусловленное географическим распространением, состоит в том, что это форма, связанная со всеми территориями древней Римской империи, которые были латиноязычными, и с некоторыми общинами, имевшими тесные контакты с этими областями, такими как южная Немцы (языки Северогерманские формы, такие как скандинавский, следуют другому шаблону для «привет», за исключением тех случаев, когда некоторые из них недавно испытали влияние английского приветствия. Это правда, что некоторые из этих форм получили особое объяснение, например, французское hélas, который считался зависимым от архаичного глагола héler со значением приветствия, зависящим от германской формы heilen (приветствовать, желать здоровья), которая лежит в основе немецкого «heil!». подобно приветствию и их эквивалентам, они показывают в своем примитивном употреблении значение, которое не совсем является приветствием или пожеланием здоровья. Они представляют собой прежде всего призыв к вниманию, форму определенного интеръективного значения (иногда с некоторым чувством удивления), предупреждающую другого о чьем-либо присутствии, нечто подобное тому, когда пастухи и горцы предупреждают издалека разными криками о возможных слушателей, потому что они хотят дать о себе знать (самыми разнообразными выкриками, типа «эээээээээээээээээээээ» и т.п.) и спровоцировать реакцию или коммуникативный контакт («эй, я здесь»). Подумайте хотя бы об приветствии / там / привет телефонных ответов, которые как бы хотят сказать нам «я здесь» и в то же время являются подстрекательством к установлению связи. И с этими предпосылками мы можем теперь сосредоточиться на возможном этимологическом объяснении этих форм, в которое, я думаю, могут вписаться только следующие возможности: 1) что они зависели от германской формы, такой как heilen, которая была выбрана в какой-то момент для объяснения французского hélas, который распространялся бы с различными вокализациями, измененными народными действиями, что могло бы произойти, если учесть, что германские элементы проникают во всю Западную Римскую империю с ее разложением. Но именно этот вариант мне кажется маловероятным. Возможно, французская форма — это единичный случай, который можно объяснить таким образом. Но, с одной стороны, бросается в глаза, что в немецком есть heil, зависящий от этой формы, а также вроде иной halo. А с другой стороны, значение этих форм как «будь здоров», «будь здоров», на манер классических приветствий, похоже, не вяжется с первоначальным значением, которое вроде бы имеют наше «здравствуйте» и другие варианты. . 2) Что это выразительная народная формация, но формы которой мы должны проследить до вульгарной латыни, поскольку они присутствуют во многих пространствах языковой Румынии. В этом случае следует подумать об экспрессивно-звукоподражательном значении слога -ла-, присутствующего в столь многих образованиях, в которых речь «хочет показаться», но без конкретного значения. Итак, у нас есть такие чеканки, как латинские lallare (петь колыбельную без определенного текста, усыпить ребенка) и lallum (колыбельная, песня няни) или греческое ἀλαλή («алале», боевой клич), имитирующее слоги. испускается с единственной целью привлечь внимание врага или бросить ему вызов, делая присутствие очень явным. Это гораздо более осуществимо. 3) Что это вульгарная позднелатинская форма, состоящая из междометия вызова с дейктической -la/-lo, оканчивающегося на клитику, что лично я считаю наиболее наводящим на размышления. В латыни было много междометий, которые встречаются даже в литературном языке, которые представляют собой различные вокализации и которые в разговорной речи были эквивалентны «привет» во многих контекстах, таких как heu, hem, heus, au, ha, o и т. д., которые становятся похожими на простой призыв к вниманию типа «эй, посмотри сюда, я здесь» или что-то подобное. С древних времен латынь имела тенденцию добавлять дейктики (пространственно-временные ситуативные частицы). Такие местоимения, как hic (это) или haec (это), на самом деле происходят от архаичных форм ho-i-ce и ha-i-ce, в которых i и ce являются дейктическими частицами, которые стали означать «здесь», и в обоих случаях это как если бы мы говорили «это отсюда отсюда» или «это отсюда отсюда», чтобы выразить полную близость к говорящему. Аналогичное латинское происхождение имеют французские выражения voici и voila или celui-ci (этот) и celui-là (то), в которых -ci и -là являются дейктиками латинского происхождения. В частности, -là происходит от сокращения наречия illac (там), широко используемого в речи и дающего нам там в испанском, но также дающего là в итальянском и la в старом каталанском. Другой наречный вариант - illoc / illuc / illo, сокращение которого логически дало бы «lo». Этим можно было бы объяснить количество вариантов, состоящих из первого слога любого междометия (о, ау, хэу...) и второго элемента -ла (привет, волна...) или второго элемента -ло (алло, ало). ...) . Короче говоря, мы должны были бы думать о поливалентной формации, которая могла бы выражать как «эй, посмотри-там» (в смысле «эй, кто передо мной»), так и, прежде всего, «эй, вот (послушай меня, я здесь, посмотри сюда). Кто-то, вероятно, удивится, почему кто-то сказал бы на латыни «ei, здесь» с некоторыми сокращенными наречиями (illac, illuc), что они означают «там». Что ж, для тех, кто знаком с особенностями латинского дейксиса, это не составляет труда. Когда речь чисто описательная, дейксис устанавливается с точки зрения рассказчика (здесь будет то, что близко к говорящему, там то, что далеко от него, то то, что близко по времени к рассказчику). говорящего, то что удалено во времени от говорящего).…). Но когда язык является коммуникативным или интерактивным, часто говорящий на латыни «облегчает задачу» получателю и приспосабливает свой язык к точке зрения и ситуации получателя, и это часто происходит именно в разговорном или фамильярном языке. Например, мы храним много писем. Тот, кто пишет письмо, никогда не пишет «Я пишу тебе из Афин», а пишет «Я писал тебе из Афин» (когда адресат получит письмо, для него действие будет передано) и вместо того, чтобы сказать «здесь жарко» , он может просто сказать ""там жарко"", думая об оптике ресивера. То есть вполне возможно, что на латыни можно было бы сказать «эй, там», чтобы предупредить слушателя о его присутствии в точке, которая для него там, а не «эй, здесь». Это всего лишь гипотеза, но я думаю, что первые свидетельства этих весьма неформальных форм приветствия и их контексты следует начать детально рассматривать и анализировать в каждом языке."
синий,"СИНИЙ Слово «синий» происходит от вульгарного арабского «лазурд», варианта арабского «лазавард», собственно говоря, «лазурита», голоса персидского происхождения. Источник: Краткий этимологический словарь кастильского языка, автор Хоан Короминас. Спасибо: Долорес Марин. Это немного связно, учитывая иллюстрации, которые сопровождают Багхавад-Гиту, с аватаром Кришны, полностью синим. - Спасибо: Максимилиано Мена Перес БАРБА АЗУЛ Барба Асуль — один из тех редких персонажей, которые появились из-за разочарования его создателей. Насколько я помню, это был кто-то с такими черными чертами волос, что они внезапно стали темно-синими; это делало его совершенно отталкивающим, но у него также было огромное состояние, полученное от браков, которые он собирал как голы на чемпионатах мира на протяжении всей своей жизни. Люди были заинтригованы тем, что их жены исчезли как по волшебству. Имелась в виду дочь пожилой дамы, руки которой Синяя Борода пришел просить в жены. Из любопытства или любопытства дочь согласилась выйти за него замуж. Предположительно, в одно из своих отлучек Синяя Борода оставил молодой жене ключи от своего особняка и, разумеется, соблазнил ее, как змея в раю, к Адаму и Еве: «можно открыть все двери, кроме той, что в маленький ключ». Да, конечно, и я сосу свой палец! - подумала молодая жена. Она пригласила своих друзей и братьев, чтобы не чувствовать себя одинокой в таком огромном доме и, конечно же, любопытство оказалось сильнее. Она открыла запретную дверь и обнаружила в темноте знакомое зловоние — свернувшуюся кровь — и трупы ранее пропавших без вести жен своего мужа. Она была настолько впечатлена зрелищем расчлененных тел, что уронила ключ, чем воспользовалась, чтобы испачкать себя запекшейся кровью, которую девушка так и не смогла удалить - писательская уловка. По возвращении Синяя Борода осознал непослушание своей жены и решил изгнать ее из рая... убив ее, как и других своих жен. Она запросила последнее желание — помолиться и приготовиться к смерти — в надежде, что ее братья придут ее спасти. Уловка окупилась, и его братьям, некоторым государственным чиновникам, удалось спасти ему жизнь и положить конец жестокому Синей Бороде. И цвет в Колорадо, история окончена. - Спасибо: Максимилиано Мена Перес"
желтый,"ЖЕЛТЫЙ Слово желтый происходит от латинского слова amarus, «горький, грустный», через форму amarĕllus. Это было бы связано с этим значением, потому что желтый цвет связан со смертью, потому что он характерен для длительных болезней, таких как туберкулез или болезнь печени, или для меланхолии, которая в те времена трактовалась как болезнь, характеризующаяся грустью настроения и вспышками сумасшествия. Первое предполагаемое происхождение было буквально, согласно Коваррубиасу в 1726 году, «составленным голосом из арабского артикля А и греческого голоса Марилло», что означало бы томный или гаснущий огонь. Попытавшись найти какой-нибудь греческий термин, похожий на Марилло, и не найдя его, я пришел к выводу, что он связан с глаголом μαραίνω, что означает увядать, увядать. Эта гипотеза была бы верна, если бы мы поняли, что в галисийско-португальском языке можно сказать и амарело, и марело. Другое предложение было сделано примерно в 1880 году, в котором постулировалось, что оно произошло от арабского анбари, «янтарного цвета». Желтый имеет этимологическое родство с зеленым в остальных европейских языках, за исключением каталонского, groc groga, происходящего от латинского crocus, «шафран». Латинское слово amarus (горький, пряный) связано с индоевропейским корнем *om- (сырой, горький), присутствующим в греческом ωμός (omos = сырой), из которого мы строим омофагию. Но лексическое родство амареллуса с амарусом (горьким) обусловлено следующим. Это связано с состоянием кожи при заболеваниях, которые приводят к желтухе и поэтому были связаны с желчью, которую также называют «горьким юмором». См.: юмор. В действительности происходит то, что в латыни было огромное количество слов для обозначения цветов. Итак, для идеи желтого у меня были flavus (золотисто-желтый), luridus (бледно-желтый), croceus (темно-оранжевый желтый, полученный из крокуса, шафрана) и galbus, galbinus или gilvus (зеленовато-желтый, как кожура цветка). лимонный).не очень спелый) и еще другие для желто-охристого (охра и др.). Так выбрали романские языки, и в то время как испанский и португальский принимают желтый и амарелло за синестезию со вкусом-цветом желчи, французский jaune происходит от galbinus, итальянский giallo связан с galbus и gilvus, румынский galben происходит от galbus и Каталонский грок де крочеус. Немецкий gelb и английский желтый , не романские языки, используют слово того же происхождения, что и латинское galbus."
зеленый,"ЗЕЛЕНЫЙ Слово зеленый происходит от латинского virĭde, аблатив virĭdis, появляется в DRAE с 1739 года. Латинское слово virĭde, по-видимому, имеет ПИЕ (протоиндоевропейское) происхождение. Среди европейских языков у нас два разных корня: англо-саксонский и романский. Англосаксонский язык происходит от корня PIE *ghrē-, и есть множество слов, таких как датский, grøn; голландский, зеленый; немецкий грюн; Английский, зеленый или шведский grön, хотя в этих языках также есть германские корневые слова, такие как английское verdant или verdure. Корень * ghrē-, «расти» или «становиться зеленым», от которого в английском языке происходит «расти», «зеленый» или «трава». Что касается романского корня vir- с его многочисленными производными, относящимися к зеленому цвету, он, похоже, не имеет прямого соответствия с ПИЕ. В других языках они произошли бы от корня PIE *ghel-, так что это привело бы к английскому желтому или золотому (хотя этот исключительно золотой), немецкому gelb, древнеперсидскому Zairina (оттенок золота), итальянскому flavo или fulvo, Латинское flavus, французское jaune, gualda, galbanum, flavo, «желтый»; или латинское helvus (устойчивое в helvela, «овощ») или galbinus a um, итальянское giàllo или giàlde или giada, чешское zelená, glauco, «зеленый»; или оба цвета, как в греческом χλωρός ο χλοερός (хлорос) или в латинском fulvusgalbinus и galbanum, поскольку это относится к натуральному каучуку, извлеченному из зонтичного растения, произрастающего в Сирии, который будет иметь цвет между молочным, желтоватым и зеленоватым (что означает это последнее слово золотой, желтый, красный или зеленый). Хотя семитский корень *ḥalab- «молоко», в древнегреческом χαλβανή, повлиял бы, например, на образование galbinus и galbanum. Для того, чтобы сфокусировать тему и действительно объяснить этимологию зеленого цвета, кроме всякого лишнего сравнения с другими корнями, выражающими идею этого цвета, необходимо уточнить: Что зеленый цвет не происходит ни от какого аблатива вирид, потому что он является топиком на -iy, его латинский аблатив - viridi. Кроме того, за редким исключением, все латинские слова происходят от винительного падежа, который является последним сохранившимся латинским падежом. В этом винительном падеже обычно принимает формант m в единственном числе, который говорящие преобразовали в легкую назализацию и в итоге потеряли, а во множественном числе формант -s, который уцелел и поэтому является признаком нашего множественного числа. Таким образом, зеленый цвет происходит от винительного падежа (m), а его множественное число - от винительного падежа множественного числа virides, в обоих случаях с синкопой. Что латинское прилагательное viridis происходит от глагола virere, глагола, означающего быть энергичным и полным силы, который применительно к растениям означает быть буйным, полным листвы и, следовательно, очень зеленым. Правда в том, что было много дискуссий о том, происходит ли в этом глаголе идея зеленого цвета от идеи энергии, или идея энергии несет в себе идею зеленого цвета, но во всяком случае в глаголе они неразделимы (обратите внимание, что прилагательное латинское viridis также означает бодрый, пышный, цветущий и молодой). С серьезными сомнениями, и хотя это слово представляет собой удлинение корневой гласной, подход к корню vis (сила), множественное число которого есть vires (силы), не невозможен. Латинское слово viridis происходит от индоевропейского корня *wiro- (сильный мужчина), который связан с ростом и откуда произошли слова virile, добродетель и даже verija."
чернить," ЧЕРНЫЙ Слово «черный» происходит от латинского niger, nigra, nigrum, что означает самый темный цвет, не отражающий свет. Нет данных, откуда римляне взяли это слово. Слово считается латинским творением. Мы уже знаем, что черный цвет поглощает все излучение спектра и поэтому не отражает никакого цвета. Но в латыни матовый и глянцевый варианты отличаются разными словами в определенных цветах. На латыни niger означает не просто «черный», а «ярко-черный», то есть излучающий блеск. Матово-черный цвет, как например черный дым, называется атер (откуда зверский). То же самое происходит и с белым: кандидус ярко-белый, а альбус матово-белый."
" белый","БЕЛЫЙ В детстве я выучил песенку, в которой говорится: Белая лошадка, забери меня отсюда, забери меня в мою землю, где я родился. Кто бы мог подумать, что слово «белый» происходит от этой маленькой лошадки. Слово «белый» происходит от германского пробела, которым тевтонцы называли своих более легких лошадей. Германское слово «blank» происходит от «blinken» (сиять), а это от индоевропейского корня *bhel-1 / *bheleg- (гореть, искрить, сиять). С влиянием варваров слово бланк пришло на смену латинскому слову albus, которое у нас до сих пор встречается в alba и albino. Какого цвета был белый конь Наполеона? Некоторые говорят, что он был коричневым, и его звали «Белый»."
